Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,248.2,0.082740817513493,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,650,60,85,65.0,10.540925533894598,65.0,12.08593327999115,10,111.11111111111111
18.0,6,222.7,0.0840652416925304,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,675,60,85,67.5,12.0761472884912,67.5,11.900214409828186,10,145.83333333333334
18.0,6,222.7,0.1104372400031986,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,675,60,85,67.5,12.0761472884912,67.5,9.056150412559507,10,145.83333333333334
20.0,6,248.2,0.0831311736266269,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,650,60,85,65.0,10.540925533894598,65.0,15.038022780418396,10,111.11111111111111
16.0,6,197.2,0.110887913439142,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,650,60,85,65.0,10.540925533894598,65.0,9.022531604766844,10,111.11111111111111
20.0,6,248.2,0.1108487381914347,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,700,60,85,70.0,12.909944487358056,70.0,11.9226026058197,10,166.66666666666666
16.0,6,198.9,0.1108447327561095,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,650,60,85,65.0,10.540925533894598,65.0,12.029319095611571,10,111.11111111111111
20.0,6,246.5,0.0828029411849885,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,650,60,85,65.0,10.540925533894598,65.0,12.080906200408936,10,111.11111111111111
16.0,6,198.9,0.1110365241303437,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,675,60,85,67.5,12.0761472884912,67.5,11.891918611526489,10,145.83333333333334
20.0,6,246.5,0.1109713254792142,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,675,60,85,67.5,12.0761472884912,67.5,9.015105485916138,10,145.83333333333334
