Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.0,6,98.2,0.399744532769871,0.0,0.1,0.0,0.7,0.7,0.0,0.0,7,1,0,0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,765,56,136,76.5,26.43755745987977,76.5,2.501597690582275,10,698.9444444444445
20.4,6,112.4,2724.104695719945,0.0,0.1,0.0,0.7,1.0,0.0,0.0,10,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,659,54,110,65.9,16.31938179657006,65.9,0.0060858011245727,10,266.32222222222225
20.0,6,89.0,4916.544367600516,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,575,54,64,57.5,3.865804501581067,57.5,0.0002177000045776,10,14.944444444444445
20.0,6,81.2,6203.674012720012,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,568,54,64,56.8,3.794733192202055,56.8,0.0002149105072021,10,14.4
20.0,6,65.6,0.7460007059991842,0.2,0.0,0.0,0.2,1.0,0.0,0.0,10,0,2,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1068,54,570,106.8,162.77100478893652,106.8,1.3404876947402955,10,26494.4
11.6,17,101.0,0.1574629048939828,0.1,0.0,0.0,0.0,0.3,0.0,0.0,3,0,1,0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,782,54,96,78.2,15.67588381346753,78.2,6.350709795951843,10,245.7333333333333
8.0,17,96.0,0.1609225107112085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,880,80,96,88.0,8.432740427115679,88.0,6.214230799674988,10,71.11111111111111
17.2,6,91.8,0.1710871221802121,0.0,0.2,0.0,0.3,0.6,0.0,0.0,6,2,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,735,54,113,73.5,21.14106062723544,73.5,5.845028495788574,10,446.94444444444446
20.0,6,81.2,18.13101540592332,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,827,58,136,82.7,25.06901584736736,82.7,0.1351698160171509,10,628.4555555555556
20.0,6,104.6,0.2230019363501837,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,588,56,60,58.8,1.9321835661585915,58.8,4.50450029373169,10,3.733333333333333
20.0,6,104.6,0.2315296044511227,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,627,56,99,62.7,12.893150636416737,62.7,5.793158388137817,10,166.23333333333332
20.0,6,89.0,0.3310965020303254,0.0,0.0,0.0,0.9,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,746,56,140,74.6,33.46706507066977,74.6,3.0259732007980347,10,1120.0444444444445
20.0,6,104.6,0.222216098859945,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,588,56,60,58.8,1.9321835661585915,58.8,5.9743897199630736,10,3.733333333333333
20.0,6,89.0,0.3331239215358616,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,781,56,136,78.1,33.05366007637346,78.1,3.007516479492188,10,1092.5444444444447
20.0,6,104.6,0.2235032340849295,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,588,56,60,58.8,1.9321835661585915,58.8,4.4944416046142575,10,3.733333333333333
20.0,6,96.8,0.2222372006280114,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,625,56,99,62.5,12.95505049520585,62.5,4.505380415916443,10,167.83333333333334
20.0,6,96.8,0.2233551446669035,0.0,0.0,0.0,0.9,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,748,56,140,74.8,33.362653771345386,74.8,4.494673180580139,10,1113.0666666666664
17.6,6,98.2,0.2327074564911734,0.0,0.0,0.0,0.8,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,644,56,96,64.4,13.125039682479697,64.4,4.302848315238952,10,172.26666666666668
20.8,6,120.2,164.40643153364326,0.0,0.2,0.0,0.7,0.9,0.0,0.0,9,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,665,58,110,66.5,15.939120288006974,66.5,0.0114163875579833,10,254.05555555555557
20.0,6,96.8,4770.59144676979,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,585,54,64,58.5,4.143267631552018,58.5,0.0002303123474121,10,17.166666666666668
