Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,193.5,1.267349823661084,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1097,54,191,109.7,69.34623277439086,109.7,0.7890481233596802,10,4808.9
20.0,6,173.0,0.4979186514500586,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.0143410921096803,10,4174.9333333333325
20.0,6,193.5,0.4985120659760592,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,960,54,190,96.0,64.88964991943374,96.0,2.0163137912750244,10,4210.666666666667
20.0,6,193.5,0.8119315632727212,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1097,54,191,109.7,69.34623277439084,109.7,1.881214499473572,10,4808.899999999999
20.0,6,173.0,0.6403144024224174,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,1.5677335023880006,10,4174.9333333333325
20.0,6,193.5,0.4964117088477743,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,960,54,190,96.0,64.88964991943374,96.0,2.021242308616638,10,4210.666666666667
20.0,6,193.5,0.6302232502467594,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1097,54,191,109.7,69.34623277439086,109.7,2.231305384635925,10,4808.9
20.0,6,173.0,0.9963680337655436,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,1.010456109046936,10,4174.9333333333325
22.8,6,152.5,4.04119134241845,0.1,0.2,0.0,0.2,0.9,0.0,0.0,9,2,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1300,54,568,130.0,168.0714133932359,130.0,0.2684546947479248,10,28248.0
21.6,6,173.0,3.583530623979549,0.3,0.2,0.0,0.0,0.9,0.0,0.0,9,2,3,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,556,54,62,55.6,3.3730961708462712,55.6,0.3011175155639648,10,11.377777777777776
20.0,6,152.5,7.0963919306641055,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,747,54,110,74.7,20.254217667768195,74.7,0.1411497831344604,10,410.23333333333335
20.0,6,173.0,0.849257907877827,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,871,54,190,87.1,55.57667376396924,87.1,1.192264699935913,10,3088.766666666667
20.0,6,173.0,0.4949908176063191,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.02615020275116,10,4174.9333333333325
20.0,6,193.5,0.8126742102193951,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,961,54,191,96.1,65.05117643483133,96.1,1.2392234086990357,10,4231.655555555555
20.0,6,193.5,0.4997828235211016,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1096,54,190,109.6,69.21656834409904,109.6,2.213873291015625,10,4790.933333333334
20.0,6,173.0,0.4989005713508139,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.0103491067886354,10,4174.9333333333325
20.0,6,193.5,0.631202708563289,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,961,54,191,96.1,65.05117643483133,96.1,1.5876657009124755,10,4231.655555555555
20.0,6,193.5,0.6398087680946436,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1096,54,190,109.6,69.21656834409904,109.6,1.656036901473999,10,4790.933333333334
20.0,6,173.0,0.4969160619851341,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.0182554006576536,10,4174.9333333333325
20.0,6,193.5,0.5003302190611162,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,960,54,190,96.0,64.88964991943374,96.0,2.0135525941848758,10,4210.666666666667
20.0,6,193.5,0.991852524442344,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1097,54,191,109.7,69.34623277439086,109.7,1.4495525121688844,10,4808.9
22.8,6,152.5,3.547665358788962,0.1,0.2,0.0,0.2,0.9,0.0,0.0,9,2,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,790,54,272,79.0,67.95586803212802,79.0,0.2879652976989746,10,4618.0
21.6,6,152.5,3.483001295775228,0.3,0.2,0.0,0.1,0.9,0.0,0.0,9,2,3,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1070,54,568,107.0,162.01303102597095,107.0,0.2871285915374756,10,26248.222222222223
20.0,6,173.0,8.332660848530795,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,716,54,110,71.6,20.86570817819941,71.6,0.12026948928833,10,435.37777777777774
20.0,6,173.0,0.8912840417298947,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,897,54,190,89.7,54.71755761280936,89.7,1.1293421983718872,10,2994.0111111111114
20.0,6,173.0,0.4981186812972782,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.0142997026443483,10,4174.9333333333325
20.0,6,193.5,0.814684135823214,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,961,54,191,96.1,65.05117643483133,96.1,1.2482264995574952,10,4231.655555555555
20.0,6,193.5,0.4980955579200514,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1096,54,190,109.6,69.21656834409904,109.6,2.2119840145111085,10,4790.933333333334
20.0,6,173.0,0.4984084348360914,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.012421989440918,10,4174.9333333333325
20.0,6,193.5,0.5594288818492743,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,961,54,191,96.1,65.05117643483133,96.1,1.812731909751892,10,4231.655555555555
