Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,89.0,0.3328221067496271,0.0,0.0,0.0,0.9,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,785,56,140,78.5,33.84687742039302,78.5,3.00460810661316,10,1145.611111111111
18.4,6,106.0,0.4022221653018843,0.0,0.2,0.0,0.5,0.7,0.0,0.0,7,2,0,0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,650,56,96,65.0,12.7627931460511,65.0,2.506423902511597,10,162.88888888888889
20.0,6,104.6,3726.945086191576,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,649,54,110,64.9,16.907920563386195,64.9,0.0002897024154663,10,285.87777777777774
20.0,6,81.2,3766.4367816091954,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,569,54,64,56.9,3.900142447541002,56.9,0.0002797842025756,10,15.211111111111112
20.0,6,89.0,5452.104510594047,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,574,54,64,57.4,3.7771241264574114,57.4,0.0002030134201049,10,14.266666666666664
20.0,6,73.4,7.608694035299677,0.2,0.0,0.0,0.4,1.0,0.0,0.0,10,0,2,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1652,54,570,165.2,214.16753566620065,165.2,0.1315114974975585,10,45867.73333333333
20.0,6,96.8,0.3074502536977119,0.1,0.0,0.0,0.8,1.0,0.0,0.0,10,0,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,582,54,60,58.2,2.394437999475729,58.2,3.361666393280029,10,5.7333333333333325
20.0,6,96.8,0.2234770103952542,0.0,0.0,0.0,0.9,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,789,56,140,78.9,33.57396478092975,78.9,4.494964003562927,10,1127.2111111111112
20.0,6,96.8,0.2222259463239681,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,584,56,60,58.4,2.065591117977289,58.4,4.505528092384338,10,4.266666666666667
20.0,6,104.6,0.2221952035579847,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,629,56,99,62.9,12.792793110011417,62.9,4.520779299736023,10,163.65555555555557
