Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
16.0,6,117.1,1.478530535999327,0.0,0.0,0.0,0.7,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,810,42,190,81.0,57.82925057634953,81.0,0.6763472080230712,10,3344.222222222222
16.0,6,163.0,1.8179015126800275,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,951,42,191,95.1,65.89629900246464,95.1,0.5676342010498047,10,4342.322222222222
20.0,6,147.6,0.7458991634851027,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,838,54,190,83.8,56.01150675431691,83.8,1.3465669870376586,10,3137.288888888889
14.0,6,112.1,0.7701666342420758,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,658,42,190,65.8,44.25632409297254,65.8,1.3250688076019288,10,1958.622222222222
18.0,6,142.6,0.9863599179532196,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,840,54,190,84.0,55.912630256698016,84.0,1.0138751029968265,10,3126.222222222222
16.0,6,129.8,0.9851696442987358,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,804,42,190,80.4,58.10182632432669,80.4,1.0229970932006835,10,3375.822222222222
18.0,6,142.6,1.974999281913303,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,823,42,191,82.3,57.25973958880513,82.3,0.9631119012832642,10,3278.677777777777
18.0,6,168.0,1.0509962341279495,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,966,54,190,96.6,64.48462349015203,96.6,0.9515213012695312,10,4158.266666666667
16.0,6,104.4,1.6566349562952996,0.1,0.0,0.0,0.7,0.8,0.0,0.0,8,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,799,42,190,79.9,48.22274705295556,79.9,0.6464016914367676,10,2325.4333333333334
20.0,6,147.6,0.7541235829428531,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,836,54,190,83.6,56.11733738832907,83.6,1.343486213684082,10,3149.155555555556
14.0,6,112.1,0.8577023769660006,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,676,42,190,67.6,43.54104066535643,67.6,1.1705919981002808,10,1895.8222222222223
