Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
16.0,6,137.6,0.7633767205285096,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,824,42,190,82.4,56.9584643987763,82.4,1.3099692106246947,10,3244.266666666667
16.0,6,117.1,0.8505349190962458,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,674,42,190,67.4,43.58440087921365,67.4,1.1813052892684937,10,1899.6
20.0,6,168.1,0.890880336255127,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,971,54,191,97.1,64.37123236008112,97.1,1.2761828184127808,10,4143.655555555556
16.0,6,142.5,2.8736242339270266,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,818,42,190,81.8,57.24372842892437,81.8,0.3534667015075683,10,3276.8444444444444
18.0,6,142.6,0.848368190836888,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,822,42,190,82.2,57.04929642179842,82.2,1.8308515787124635,10,3254.6222222222223
18.0,6,142.6,1.2165075711521238,0.1,0.0,0.0,0.7,0.9,0.0,0.0,9,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,822,42,190,82.2,57.04929642179842,82.2,0.8314935207366944,10,3254.6222222222223
14.0,6,104.3,0.9870687132416214,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,793,42,190,79.3,48.53418039553843,79.3,1.027212882041931,10,2355.5666666666666
18.0,6,142.6,0.6780144217149338,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,906,42,190,90.6,58.91651343685873,90.6,1.4789731979370118,10,3471.155555555555
18.0,6,155.3,1.966709131813369,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,953,42,191,95.3,65.760592725093,95.3,0.5095497131347656,10,4324.455555555555
21.6,6,152.5,1.0541264501167673,0.1,0.2,0.0,0.4,0.9,0.0,0.0,9,2,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,704,54,190,70.4,42.14050571863397,70.4,0.9541851997375488,10,1775.8222222222223
