Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
17.6,6,142.5,1.4393223252944969,0.1,0.2,0.0,0.2,0.7,0.0,0.0,7,2,1,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,690,42,190,69.0,42.908170680082726,69.0,0.694771409034729,10,1841.111111111111
20.0,6,152.5,3.731137394024119,0.3,0.0,0.0,0.2,1.0,0.0,0.0,10,0,3,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1272,54,568,127.2,169.35747859352287,127.2,0.2681659936904907,10,28681.955555555556
21.6,6,147.6,17.97048495370172,0.0,0.2,0.0,0.5,0.9,0.0,0.0,9,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,630,54,110,63.0,16.81930108205715,63.0,0.0828240156173706,10,282.8888888888889
20.0,6,152.5,20.740686529272462,0.0,0.0,0.0,0.9,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,737,54,96,73.7,17.21143031050393,73.7,0.1060957908630371,10,296.2333333333333
16.0,6,150.3,0.7354479230932234,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,841,42,190,84.1,58.00086206255904,84.1,1.3672926902770997,10,3364.1
20.0,6,139.8,0.9191890429912828,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,996,54,189,99.6,57.60054012092441,99.6,1.0935286045074464,10,3317.8222222222225
16.0,6,117.1,1.0669587116651829,0.0,0.0,0.0,0.7,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,827,42,190,82.7,56.54113546790513,82.7,1.3438462018966677,10,3196.9
20.0,6,168.1,1.7500259522471977,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,835,54,191,83.5,56.44121819301132,83.5,0.5884535074234009,10,3185.6111111111118
12.0,6,112.0,1.284201676818034,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.6,790,42,190,79.0,58.91802214376628,79.0,0.9741529941558836,10,3471.333333333333
14.4,6,88.2,83.33738664632062,0.0,0.2,0.0,0.3,0.5,0.0,0.0,5,2,0,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,686,42,110,68.6,20.505825730481785,68.6,0.012017011642456,10,420.4888888888889
