Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.4,17,62.6,154.0879200005878,0.0,0.1,0.0,0.2,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1139,66,186,113.9,54.34958857045542,113.9,0.0064898014068603,10,2953.8777777777777
23.2,6,75.2,13.37933995574356,0.2,0.1,0.0,0.1,0.6,0.0,0.0,6,1,2,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,911,66,181,91.1,44.71750837821307,91.1,0.0791661977767944,10,1999.655555555556
28.8,6,73.8,67.15055106209935,0.2,0.2,0.0,0.1,0.7,0.0,0.0,7,2,2,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,904,66,186,90.4,46.43561851280401,90.4,0.0149763107299804,10,2156.266666666667
19.2,17,68.2,121.96750676821163,0.0,0.2,0.0,0.2,0.3,0.0,0.0,3,2,0,0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1147,70,186,114.7,53.62016618980421,114.7,0.0640039920806884,10,2875.1222222222223
33.2,6,64.0,31.03429803493288,0.2,0.0,0.0,0.4,1.0,0.0,0.0,10,0,2,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,799,66,181,79.9,35.72254190283777,79.9,0.0328987121582031,10,1276.1000000000004
20.8,17,64.0,30.199616952032603,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1159,74,186,115.9,52.60006337131797,115.9,0.0331130981445312,10,2766.766666666667
28.0,6,73.8,13.846138102080962,0.2,0.1,0.0,0.2,0.8,0.0,0.0,8,1,2,0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,899,66,181,89.9,45.30501566542544,89.9,0.076540184020996,10,2052.5444444444447
24.0,6,68.2,96.81270615064663,0.1,0.2,0.0,0.1,0.5,0.0,0.0,5,2,1,0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,920,66,186,92.0,45.616761052149336,92.0,0.0115022182464599,10,2080.8888888888887
18.8,6,106.4,14.173259424162676,0.1,0.0,0.0,0.3,0.6,0.0,0.0,6,0,1,0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1007,54,190,100.7,55.55387775244257,100.7,0.0723845958709716,10,3086.233333333333
28.8,6,73.8,57.95046520046313,0.2,0.2,0.0,0.1,0.7,0.0,0.0,7,2,2,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,904,66,186,90.4,46.43561851280401,90.4,0.017323899269104,10,2156.266666666667
18.4,17,62.6,158.97511313932245,0.0,0.1,0.0,0.2,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1139,66,186,113.9,54.34958857045542,113.9,0.0643684864044189,10,2953.8777777777777
23.2,6,75.2,14.518804365848736,0.2,0.1,0.0,0.1,0.6,0.0,0.0,6,1,2,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,911,66,181,91.1,44.71750837821307,91.1,0.070389699935913,10,1999.655555555556
28.8,6,73.8,69.50955728571097,0.2,0.2,0.0,0.1,0.7,0.0,0.0,7,2,2,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,904,66,186,90.4,46.43561851280401,90.4,0.0144637107849121,10,2156.266666666667
18.4,17,62.6,146.73299608880305,0.0,0.1,0.0,0.2,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1139,66,186,113.9,54.34958857045542,113.9,0.0707026958465576,10,2953.8777777777777
20.8,6,75.2,13.49689761185942,0.2,0.1,0.0,0.0,0.5,0.0,0.0,5,1,2,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,900,66,170,90.0,42.33202097703345,90.0,0.0795460939407348,10,1792.0
31.2,6,73.8,50.83548869555943,0.2,0.2,0.0,0.2,0.8,0.0,0.0,8,2,2,0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,915,66,186,91.5,48.610126974165006,91.5,0.0197255134582519,10,2362.9444444444443
18.4,17,62.6,168.62269286279997,0.0,0.1,0.0,0.2,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1139,66,186,113.9,54.34958857045542,113.9,0.0699460983276367,10,2953.8777777777777
23.2,6,75.2,13.970870481363864,0.2,0.1,0.0,0.1,0.6,0.0,0.0,6,1,2,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,911,66,181,91.1,44.71750837821307,91.1,0.0740180015563964,10,1999.655555555556
28.8,6,73.8,58.619453986924086,0.2,0.2,0.0,0.1,0.7,0.0,0.0,7,2,2,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,904,66,186,90.4,46.43561851280401,90.4,0.0171259880065917,10,2156.266666666667
18.4,17,62.6,166.10183989798583,0.0,0.1,0.0,0.3,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1141,68,186,114.1,54.15707607403569,114.1,0.071586799621582,10,2932.988888888889
29.2,6,110.6,21.06899570864605,0.2,0.1,0.0,0.3,1.0,0.0,0.0,10,1,2,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,774,54,190,77.4,39.93383416491724,77.4,0.050139307975769,10,1594.711111111111
18.4,17,62.6,151.05518480770132,0.0,0.1,0.0,0.2,0.3,0.0,0.0,3,1,0,0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1139,66,186,113.9,54.34958857045542,113.9,0.0224202871322631,10,2953.8777777777777
23.2,6,75.2,12.55235830465065,0.2,0.1,0.0,0.1,0.6,0.0,0.0,6,1,2,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1007,66,181,100.7,50.56140381314145,100.7,0.080984616279602,10,2556.4555555555557
