Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
21.6,6,173.0,1.409497685923096,0.1,0.2,0.0,0.3,0.9,0.0,0.0,9,2,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,914,54,272,91.4,76.14051338005135,91.4,0.7094726085662841,10,5797.377777777778
21.6,6,152.5,3.5382161226020283,0.3,0.2,0.0,0.1,0.9,0.0,0.0,9,2,3,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1070,54,568,107.0,162.01303102597095,107.0,0.2868076086044311,10,26248.222222222223
20.0,6,173.0,8.156428731028294,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,716,54,110,71.6,20.86570817819941,71.6,0.122891879081726,10,435.37777777777774
20.0,6,173.0,0.8829955116806008,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,897,54,190,89.7,54.71755761280936,89.7,1.1385075092315673,10,2994.0111111111114
20.0,6,173.0,0.4957132480471301,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,962,54,190,96.2,64.29238766067964,96.2,2.0232266902923586,10,4133.511111111111
20.0,6,193.5,0.8173021509759437,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,960,54,191,96.0,64.89136220552693,96.0,1.2457878112792968,10,4210.888888888889
20.0,6,193.5,0.4952259031083882,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1095,54,190,109.5,69.0881079974453,109.5,2.233023691177368,10,4773.166666666667
20.0,6,173.0,0.4962779661324185,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,963,54,190,96.3,64.4533422976135,96.3,2.0211934089660644,10,4154.233333333334
20.0,6,193.5,0.6360419259245622,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,961,54,191,96.1,65.05117643483133,96.1,1.5807419061660766,10,4231.655555555555
20.0,6,193.5,0.6387031799326393,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1096,54,190,109.6,69.21656834409904,109.6,1.6686256885528563,10,4790.933333333334
20.0,6,173.0,0.4977596328229008,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,964,54,190,96.4,64.61372403238597,96.4,2.015308809280396,10,4174.9333333333325
20.0,6,193.5,0.4963369814257987,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,960,54,190,96.0,64.88964991943374,96.0,2.018315505981445,10,4210.666666666667
20.0,6,193.5,0.991672329436624,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1096,54,191,109.6,69.2181735930352,109.6,1.4546042919158937,10,4791.155555555556
21.6,6,152.5,3.6984505197471833,0.1,0.2,0.0,0.3,0.9,0.0,0.0,9,2,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1292,54,568,129.2,168.4285539265174,129.2,0.2764954090118408,10,28368.17777777777
21.6,6,173.0,3.662254903630041,0.3,0.2,0.0,0.0,0.9,0.0,0.0,9,2,3,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,556,54,62,55.6,3.3730961708462712,55.6,0.286794900894165,10,11.377777777777776
20.0,6,152.5,8.148325294714288,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,747,54,110,74.7,20.254217667768195,74.7,0.1227583885192871,10,410.23333333333335
20.8,6,152.5,3.695905261974341,0.1,0.1,0.0,0.5,0.9,0.0,0.0,9,1,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,633,54,95,63.3,14.522396496446444,63.3,0.2788881063461303,10,210.9
20.8,6,152.5,30.40511847640367,0.1,0.1,0.0,0.3,1.0,0.0,0.0,10,1,1,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1203,54,353,120.3,112.584832213067,120.3,0.0389986038208007,10,12675.344444444445
21.6,6,152.5,30.0233712928942,0.2,0.2,0.0,0.2,0.9,0.0,0.0,9,2,2,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,616,54,110,61.6,17.32820436937038,61.6,0.2196093797683715,10,300.2666666666667
