Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
17.6,6,76.8,1.5269196555906273,0.0,0.2,0.0,0.4,0.7,0.0,0.0,7,2,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,1894,42,751,189.4,244.9395390249965,189.4,0.6549133062362671,10,59995.37777777778
20.0,6,83.2,533.0229129865673,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1272,54,554,127.2,164.50585940256894,127.2,0.0020282983779907,10,27062.17777777778
20.0,6,89.6,1211.8063099503065,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2170,54,1067,217.0,353.41917196313943,217.0,0.0011484146118164,10,124905.11111111112
20.0,6,83.2,611.8783917838595,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1622,54,606,162.2,223.3173128582337,162.2,0.0022557973861694,10,49870.62222222222
20.0,6,83.2,747.541170599558,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1279,54,587,127.9,172.16364953793882,127.9,0.0014966011047363,10,29640.322222222225
21.6,6,102.4,10.801434627342749,0.2,0.2,0.0,0.2,0.9,0.0,0.0,9,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1106,54,372,110.6,116.93892042904751,110.6,0.0926245927810669,10,13674.71111111111
20.0,6,83.2,582.509860563302,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1602,54,649,160.2,222.0629540368126,160.2,0.0020529985427856,10,49311.95555555556
21.6,6,102.4,4.2432267066368405,0.2,0.2,0.0,0.2,0.9,0.0,0.0,9,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,860,54,356,86.0,94.943257908196,86.0,0.2357242107391357,10,9014.222222222224
20.0,6,83.2,513.5295558058671,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1831,54,649,183.1,222.04576605335717,183.1,0.0047119855880737,10,49304.32222222221
21.2,6,100.2,4.241569505629027,0.2,0.1,0.0,0.4,0.9,0.0,0.0,9,1,2,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,619,54,85,61.9,12.71438380557845,61.9,0.2359010934829712,10,161.65555555555554
20.4,6,89.6,239.29847382684352,0.0,0.1,0.0,0.6,1.0,0.0,0.0,10,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1685,54,649,168.5,202.21564397114943,168.5,0.0043910026550292,10,40891.16666666666
20.0,6,89.6,744.7140498215585,0.2,0.0,0.0,0.4,1.0,0.0,0.0,10,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,997,54,504,99.7,142.0610588600706,99.7,0.0014127016067504,10,20181.344444444447
