Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665162906.316184,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,77,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,33489.0
1665162906.368183,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,66,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,50627.0
1665162916.557492,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,77,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,44860.0
1665162916.613380,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,66,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,37803.0
1665162917.151391,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,361,192.168.137.250,3.223.181.245,6.0,56118.0,443.0,64.0,1727.0,22645.0
1665162917.219633,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,66,192.168.137.250,3.223.181.245,6.0,56118.0,443.0,64.0,1727.0,63665.0
1665162918.848224,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,66,192.168.137.250,3.223.181.245,6.0,56118.0,443.0,64.0,1727.0,61703.0
1665162918.848226,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,112,192.168.137.250,3.223.181.245,6.0,56118.0,443.0,64.0,1727.0,45764.0
1665162926.863003,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,77,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,50337.0
1665162926.925820,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,66,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,24890.0
1665162937.176997,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,77,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,52092.0
1665162937.445323,1c:fe:2b:98:16:dd,3c:18:a0:41:c3:a0,77,192.168.137.250,34.158.253.218,6.0,60698.0,4070.0,64.0,1680.0,52025.0
