Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665162902.928661,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162907.933457,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162912.954648,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162917.937075,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162921.689741,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665162921.690291,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2575.0,59876.0
1665162921.841525,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2506.0,53941.0
1665162922.938341,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162927.944305,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162932.945210,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162937.946633,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162942.958184,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162947.959385,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162952.956857,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162957.961134,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162962.964538,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162967.963371,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162972.971920,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162977.977106,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162981.792316,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2506.0,42970.0
1665162981.892960,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2437.0,53872.0
1665162982.972142,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162987.978713,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162992.981854,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665162997.980005,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163002.987056,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163007.987347,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163013.025470,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163017.994608,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163022.996132,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163027.996855,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163033.006676,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163038.004204,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163041.895242,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2437.0,52459.0
1665163042.130193,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2368.0,53803.0
1665163043.005219,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163048.023406,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163053.053644,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163058.013439,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163063.032212,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163068.020772,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163073.021948,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163078.038964,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163083.035637,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163088.031775,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163093.036487,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163098.037878,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163101.998617,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2368.0,20421.0
1665163102.304405,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2299.0,53734.0
1665163103.038622,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163108.046264,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163113.047302,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163118.073624,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163123.057632,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163128.054216,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163133.055260,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163138.062129,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163143.062452,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163148.068970,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163153.078499,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163158.072332,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163162.102374,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2299.0,31827.0
1665163162.334155,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2230.0,53665.0
1665163163.071991,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163168.078086,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163173.079135,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163178.080945,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163183.091537,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163188.121935,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163193.088546,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163198.094750,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163203.098718,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163208.096983,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163213.103584,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163218.104954,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163222.218090,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2230.0,62768.0
1665163222.524529,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2161.0,53596.0
1665163223.106205,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163228.111349,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163233.119833,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163238.113563,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163243.119618,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163248.123512,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163253.124545,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163258.128427,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163263.129118,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163268.130323,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163273.140577,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163278.138308,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163282.319583,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,123,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2161.0,8711.0
1665163282.563231,68:57:2d:56:ac:47,3c:18:a0:41:c3:a0,60,192.168.137.192,52.12.196.80,6.0,51669.0,8886.0,255.0,2092.0,53527.0
1665163283.151080,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163288.165425,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163293.147253,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163298.147767,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163303.153953,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163308.155045,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
1665163313.157749,68:57:2d:56:ac:47,ff:ff:ff:ff:ff:ff,214,192.168.137.192,255.255.255.255,17.0,49231.0,6667.0,255.0,0.0,39631.0
