Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665174622.420824,ac:f1:08:4e:00:82,33:33:00:00:00:16,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174622.420829,ac:f1:08:4e:00:82,33:33:ff:4e:00:82,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174622.420830,ac:f1:08:4e:00:82,33:33:00:00:00:16,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174622.420832,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,590,0.0.0.0,255.255.255.255,17.0,68.0,67.0,64.0,0.0,815.0
1665174622.459272,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174622.473460,ac:f1:08:4e:00:82,01:00:5e:00:00:16,60,192.168.137.253,224.0.0.22,2.0,0.0,0.0,1.0,0.0,47443.0
1665174622.477871,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,75,192.168.137.253,192.168.137.1,17.0,48877.0,53.0,64.0,0.0,29688.0
1665174622.477873,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,75,192.168.137.253,192.168.137.1,17.0,48877.0,53.0,64.0,0.0,25847.0
1665174622.569110,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,139,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,27443.0
1665174622.820372,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,139,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,27443.0
1665174623.063327,ac:f1:08:4e:00:82,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174623.071246,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,139,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,27443.0
1665174623.272063,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,127,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,9144.0
1665174623.364639,ac:f1:08:4e:00:82,01:00:5e:00:00:16,60,192.168.137.253,224.0.0.22,2.0,0.0,0.0,1.0,0.0,47443.0
1665174623.469613,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,78,192.168.137.253,192.168.137.1,17.0,54863.0,53.0,64.0,0.0,41318.0
1665174623.662177,ac:f1:08:4e:00:82,01:00:5e:00:00:16,60,192.168.137.253,224.0.0.22,2.0,0.0,0.0,1.0,0.0,47443.0
1665174623.812176,ac:f1:08:4e:00:82,33:33:ff:4e:00:82,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174623.912010,ac:f1:08:4e:00:82,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174624.272129,ac:f1:08:4e:00:82,01:00:5e:00:00:16,60,192.168.137.253,224.0.0.22,2.0,0.0,0.0,1.0,0.0,47443.0
1665174624.343042,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,127,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,9144.0
1665174624.822302,ac:f1:08:4e:00:82,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174624.830010,ac:f1:08:4e:00:82,33:33:00:00:00:02,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174624.830048,ac:f1:08:4e:00:82,01:00:5e:00:00:fb,127,192.168.137.253,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,9144.0
1665174625.401798,ac:f1:08:4e:00:82,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174627.466144,ac:f1:08:4e:00:82,01:00:5e:7f:ff:fa,327,192.168.137.253,239.255.255.250,17.0,15305.0,1900.0,4.0,0.0,45650.0
1665174627.466146,ac:f1:08:4e:00:82,01:00:5e:7f:ff:fa,327,192.168.137.253,239.255.255.250,17.0,15305.0,1900.0,4.0,0.0,45650.0
1665174627.495228,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174627.501217,ac:f1:08:4e:00:82,e8:1b:69:f8:d4:e3,98,192.168.137.253,192.168.137.103,1.0,0.0,0.0,64.0,0.0,39023.0
1665174627.503519,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174627.516402,ac:f1:08:4e:00:82,01:00:5e:7f:ff:fa,327,192.168.137.253,239.255.255.250,17.0,12256.0,1900.0,4.0,0.0,48699.0
1665174627.516680,ac:f1:08:4e:00:82,01:00:5e:7f:ff:fa,327,192.168.137.253,239.255.255.250,17.0,12256.0,1900.0,4.0,0.0,48699.0
1665174627.599707,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174627.624452,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,95,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,26572.0
1665174627.624454,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,95,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,16314.0
1665174627.687959,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,29200.0,25155.0
1665174627.734167,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,15746.0
1665174627.734169,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,47286.0
1665174627.742204,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,229.0,2595.0
1665174627.747685,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,583,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,229.0,24971.0
1665174627.772374,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,29200.0,41856.0
1665174627.799807,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,251.0,565.0
1665174627.799919,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,274.0,64629.0
1665174627.799920,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,296.0,63925.0
1665174627.858444,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,192,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,296.0,30586.0
1665174627.888973,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,296.0,63630.0
1665174627.889765,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,1151,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,296.0,48129.0
1665174627.895367,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,229.0,26231.0
1665174628.054145,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,342.0,59422.0
1665174628.054148,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,387.0,56481.0
1665174628.054240,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,432.0,53540.0
1665174628.059553,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,97,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,455.0,34732.0
1665174628.059972,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,455.0,52588.0
1665174628.092187,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,60,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,0.0,51841.0
1665174628.092189,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,60,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,0.0,51841.0
1665174628.092190,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,60,192.168.137.253,34.197.129.195,6.0,56974.0,443.0,64.0,0.0,51840.0
1665174628.147760,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174628.155422,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174628.184346,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174628.186613,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174628.272683,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,583,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,229.0,28158.0
1665174628.372435,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,251.0,23723.0
1665174628.387450,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,192,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,251.0,63078.0
1665174628.440615,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174628.492864,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,1363,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,251.0,19664.0
1665174628.640729,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,296.0,19015.0
1665174628.640731,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,342.0,16073.0
1665174628.641587,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,387.0,13132.0
1665174628.641589,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,432.0,11010.0
1665174628.641680,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,477.0,8069.0
1665174628.683934,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,71,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,21310.0
1665174628.683936,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,71,192.168.137.253,192.168.137.1,17.0,57440.0,53.0,64.0,0.0,45571.0
1665174628.716359,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,29200.0,37119.0
1665174628.743967,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,523.0,5026.0
1665174628.743969,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,568.0,2085.0
1665174628.744586,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,613.0,64679.0
1665174628.745025,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,97,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,636.0,62863.0
1665174628.758531,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,636.0,64326.0
1665174628.851279,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,60,192.168.137.253,52.43.139.177,6.0,38854.0,443.0,64.0,0.0,2807.0
1665174628.899109,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,52.43.139.177,6.0,38878.0,443.0,64.0,29200.0,10828.0
1665174628.926426,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,229.0,37900.0
1665174629.013243,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38878.0,443.0,64.0,229.0,50963.0
1665174629.051786,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,583,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,229.0,22887.0
1665174629.123359,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,74,192.168.137.253,52.43.139.177,6.0,38880.0,443.0,64.0,29200.0,64234.0
1665174629.142826,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174629.153369,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174629.172741,ac:f1:08:4e:00:82,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174629.240116,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,251.0,35569.0
1665174629.240208,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,274.0,34098.0
1665174629.240365,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,296.0,33692.0
1665174629.252803,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,192,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,296.0,48496.0
1665174629.285075,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,66,192.168.137.253,52.43.139.177,6.0,38880.0,443.0,64.0,229.0,11741.0
1665174629.416212,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,583,192.168.137.253,52.43.139.177,6.0,38878.0,443.0,64.0,229.0,27463.0
1665174629.439556,ac:f1:08:4e:00:82,3c:18:a0:41:c3:a0,914,192.168.137.253,15.165.78.7,6.0,52126.0,443.0,64.0,296.0,25430.0
