Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665196233.417300,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196234.693654,70:ee:50:6b:a8:1a,3c:18:a0:41:c3:a0,60,192.168.137.135,20.224.69.180,6.0,61195.0,25050.0,255.0,2442.0,61337.0
1665196238.543352,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196238.647854,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196243.693680,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196248.823187,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196253.949442,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196259.124085,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196259.131099,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196264.251880,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196265.173758,70:ee:50:6b:a8:1a,01:00:5e:00:00:fb,206,192.168.137.135,224.0.0.251,17.0,5353.0,5353.0,255.0,0.0,36676.0
1665196265.186048,70:ee:50:6b:a8:1a,33:33:00:00:00:fb,226,0.0,0.0,0.0,5353.0,5353.0,0.0,0.0,20861.0
1665196265.417286,70:ee:50:6b:a8:1a,3c:18:a0:41:c3:a0,60,192.168.137.135,20.224.69.180,6.0,61195.0,25050.0,255.0,2442.0,61337.0
1665196269.380300,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196274.535443,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196279.667436,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196284.811105,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196289.955372,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196295.088432,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196296.132224,70:ee:50:6b:a8:1a,3c:18:a0:41:c3:a0,60,192.168.137.135,20.224.69.180,6.0,61195.0,25050.0,255.0,2442.0,61337.0
1665196297.579626,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196298.254912,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196300.233119,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665196305.371203,70:ee:50:6b:a8:1a,ff:ff:ff:ff:ff:ff,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
