Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665165444.203622,00:02:75:f6:e3:cb,33:33:00:00:00:02,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665165874.097018,00:02:75:f6:e3:cb,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665165874.098225,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665165874.714763,00:02:75:f6:e3:cb,33:33:00:00:00:16,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665166433.833864,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,81,192.168.137.56,192.168.137.1,17.0,48285.0,53.0,64.0,0.0,34207.0
1665166433.866162,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,74,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,65535.0,57556.0
1665166433.960460,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1369.0,52148.0
1665166433.960462,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,281,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1369.0,35540.0
1665166434.036053,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1414.0,50296.0
1665166434.036055,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1505.0,47297.0
1665166434.068874,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,192,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1505.0,29189.0
1665166434.141485,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1505.0,46897.0
1665166434.144610,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,385,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1505.0,4888.0
1665166434.212978,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53424.0,443.0,64.0,1551.0,45084.0
1665166434.216106,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,74,192.168.137.56,72.2.16.10,6.0,44380.0,80.0,64.0,65535.0,14167.0
1665166434.302620,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,44380.0,80.0,64.0,1369.0,13142.0
1665166434.303206,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,357,192.168.137.56,72.2.16.10,6.0,44380.0,80.0,64.0,1369.0,47494.0
1665166434.368289,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,44380.0,80.0,64.0,1386.0,12471.0
1665166434.369293,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,44380.0,80.0,64.0,1386.0,12468.0
1665166434.372836,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,74,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,65535.0,62419.0
1665166434.466563,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1369.0,57842.0
1665166434.466565,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,281,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1369.0,29028.0
1665166434.530265,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1386.0,57322.0
1665166434.531017,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,117,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1386.0,12808.0
1665166434.596577,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,386,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1386.0,21237.0
1665166434.681926,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1431.0,55444.0
1665166434.681928,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,97,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1431.0,58092.0
1665166434.681929,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53428.0,443.0,64.0,1431.0,55410.0
1665166434.682016,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,74,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,65535.0,47982.0
1665166434.772551,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1369.0,48602.0
1665166434.776139,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,281,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1369.0,41200.0
1665166434.840055,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1386.0,48084.0
1665166434.840960,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,117,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1386.0,48354.0
1665166434.930818,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,340,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1386.0,37948.0
1665166434.997062,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1438.0,45725.0
1665166434.997064,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1484.0,44202.0
1665166435.009724,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,97,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1530.0,54788.0
1665166435.010521,00:02:75:f6:e3:cb,3c:18:a0:41:c3:a0,66,192.168.137.56,72.2.16.10,6.0,53430.0,443.0,64.0,1530.0,43402.0
