Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1734255957.488608,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2070.0,6039.0
1734255957.712237,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2066.0,9116.0
1734255962.034090,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,191,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2066.0,47085.0
1734255962.120875,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2062.0,8979.0
1734255962.638883,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734255963.144744,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2062.0,5764.0
1734255963.446648,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2058.0,8843.0
1734255965.379089,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2058.0,5627.0
1734255965.475028,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2054.0,8707.0
1734255972.057586,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2054.0,5490.0
1734255972.319136,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2050.0,8571.0
1734255978.749785,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2050.0,5353.0
1734255979.044960,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2046.0,8435.0
1734255985.462303,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2046.0,6753.0
1734255985.625943,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2042.0,8299.0
1734255990.805620,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734255992.141130,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2042.0,6616.0
1734255992.245504,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2038.0,8163.0
1734255998.817494,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2038.0,4942.0
1734255998.892468,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2034.0,8027.0
1734256005.504581,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2034.0,6342.0
1734256005.685638,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2030.0,7891.0
1734256012.181474,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2030.0,4668.0
1734256012.405975,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2026.0,7755.0
1734256017.428501,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734256018.868609,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2026.0,6068.0
1734256018.997128,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2022.0,7619.0
1734256023.392998,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,191,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2022.0,42772.0
1734256023.619653,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2018.0,7482.0
1734256024.497783,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2018.0,4256.0
1734256024.691883,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2014.0,7346.0
1734256026.736219,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2014.0,4119.0
1734256027.019338,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2010.0,7210.0
1734256033.438376,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2010.0,3982.0
1734256033.565588,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2006.0,7074.0
1734256038.724667,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734256040.114737,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2006.0,3845.0
1734256040.242972,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2002.0,6938.0
1734256046.800543,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,2002.0,5245.0
1734256046.873794,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1998.0,6802.0
1734256053.494362,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1998.0,5108.0
1734256053.648208,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1994.0,6666.0
1734256060.153264,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1994.0,3434.0
1734256060.387541,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1990.0,6530.0
1734256065.450492,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734256066.833202,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1990.0,4834.0
1734256067.142470,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1986.0,6394.0
1734256073.642287,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1986.0,3160.0
1734256073.874610,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,54,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1982.0,6258.0
1734256080.323230,84:f3:eb:0d:7f:2e,d4:6e:0e:76:ef:10,190,192.168.1.140,128.199.95.20,6.0,65258.0,1883.0,255.0,1982.0,3023.0
