Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1734255954.127161,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42604.0,80.0,64.0,502.0,37745.0
1734255954.128305,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42604.0,80.0,64.0,502.0,37739.0
1734255954.218341,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42604.0,80.0,64.0,502.0,37542.0
1734255954.810784,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,34390.0,53.0,64.0,0.0,38711.0
1734255954.813613,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,40034.0
1734255954.814734,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,40956.0,53.0,64.0,0.0,10270.0
1734255954.816709,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,37363.0,53.0,64.0,0.0,25330.0
1734255954.819701,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,142.250.193.196,6.0,42616.0,80.0,64.0,64240.0,19249.0
1734255954.875750,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,33136.0
1734255954.910341,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42616.0,80.0,64.0,502.0,2788.0
1734255954.934381,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42616.0,80.0,64.0,502.0,2763.0
1734255955.028144,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42616.0,80.0,64.0,502.0,2554.0
1734255955.571361,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,38343.0
1734255955.571362,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,60323.0,53.0,64.0,0.0,20167.0
1734255955.577911,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,46338.0,53.0,64.0,0.0,32518.0
1734255955.580903,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,41544.0,53.0,64.0,0.0,6806.0
1734255955.593467,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,142.250.193.196,6.0,42624.0,80.0,64.0,64240.0,44357.0
1734255955.639167,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,31500.0
1734255955.698845,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42624.0,80.0,64.0,502.0,5214.0
1734255955.701127,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42624.0,80.0,64.0,502.0,5210.0
1734255955.807775,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42624.0,80.0,64.0,502.0,4996.0
1734255956.369127,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,36670.0
1734255956.369128,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,51514.0,53.0,64.0,0.0,64090.0
1734255956.371636,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,40666.0,53.0,64.0,0.0,62198.0
1734255956.376486,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,43534.0,53.0,64.0,0.0,33864.0
1734255956.384202,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,142.250.193.196,6.0,42628.0,80.0,64.0,64240.0,38715.0
1734255956.428729,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,29789.0
1734255956.477484,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42628.0,80.0,64.0,502.0,49258.0
1734255956.484011,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42628.0,80.0,64.0,502.0,49250.0
1734255956.576898,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42628.0,80.0,64.0,502.0,49057.0
1734255957.178733,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,34936.0
1734255957.178734,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,39667.0,53.0,64.0,0.0,32252.0
1734255957.199191,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,42756.0,53.0,64.0,0.0,59673.0
1734255957.201301,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,45016.0,53.0,64.0,0.0,45458.0
1734255957.217734,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,142.250.193.196,6.0,42644.0,80.0,64.0,64240.0,47233.0
1734255957.236054,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,28052.0
1734255957.325328,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42644.0,80.0,64.0,502.0,62544.0
1734255957.332276,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42644.0,80.0,64.0,502.0,62537.0
1734255957.439861,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,142.250.193.196,6.0,42644.0,80.0,64.0,502.0,62313.0
1734255957.990202,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,47750.0,53.0,64.0,0.0,8458.0
1734255957.997917,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,33184.0
1734255957.998477,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,58150.0,53.0,64.0,0.0,50588.0
