Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1734254405.707979,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,32869.0,53.0,64.0,0.0,15818.0
1734254405.709470,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,12046.0
1734254405.739350,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,42744.0,53.0,64.0,0.0,12388.0
1734254405.739351,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,42744.0,53.0,64.0,0.0,20586.0
1734254405.760565,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,74.125.130.147,6.0,57772.0,80.0,64.0,64240.0,49782.0
1734254405.772877,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,867.0
1734254405.827140,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,74.125.130.147,6.0,57772.0,80.0,64.0,502.0,48975.0
1734254405.832544,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,74.125.130.147,6.0,57772.0,80.0,64.0,502.0,48972.0
1734254405.891235,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,74.125.130.147,6.0,57772.0,80.0,64.0,502.0,48838.0
1734254406.394224,b8:27:eb:d7:50:f4,33:33:00:00:00:16,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1734254406.551604,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,46935.0,53.0,64.0,0.0,19888.0
1734254406.564537,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,181,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,10311.0
1734254406.564539,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,59891.0,53.0,64.0,0.0,50799.0
1734254406.564539,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,192.168.1.1,17.0,59891.0,53.0,64.0,0.0,52084.0
1734254406.575543,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,74,192.168.1.155,74.125.130.103,6.0,46480.0,80.0,64.0,64240.0,13916.0
1734254406.626255,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,159.89.206.26,6.0,33357.0,1883.0,64.0,502.0,64573.0
1734254406.636138,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,74.125.130.103,6.0,46480.0,80.0,64.0,502.0,59168.0
1734254406.647230,b8:27:eb:d7:50:f4,d4:6e:0e:76:ef:10,66,192.168.1.155,74.125.130.103,6.0,46480.0,80.0,64.0,502.0,59162.0
