Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1728891453.902697,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,344,192.168.137.1,192.168.137.58,17,67,68,128,0.0,58496
1728891453.924339,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,344,192.168.137.1,192.168.137.58,17,67,68,128,0.0,57728
1728891454.525228,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,458,192.168.137.1,192.168.137.58,17,53,19433,128,0.0,45072
1728891454.807975,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,58,52.87.75.204,192.168.137.58,6,8883,54470,241,26883.0,28630
1728891455.102740,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,33559
1728891455.102819,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,150,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,20277
1728891455.102847,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,1490,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,37821
1728891455.102876,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,1490,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,57760
1728891455.102901,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,1490,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,7914
1728891455.102927,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,753,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,54205
1728891455.102958,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,97,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,36429
1728891455.102983,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,392,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,36708
1728891455.103011,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,63,52.87.75.204,192.168.137.58,6,8883,54470,241,27872.0,20617
1728891456.153749,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,25803
1728891456.947103,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,25752
1728891456.947183,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,19590
1728891456.947214,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,99,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,58098
1728891457.321125,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,25613
1728891457.530899,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,87,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,5679
1728891457.837834,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,29274.0,25524
1728891457.862229,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,5974
1728891457.892918,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,88,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,12036
1728891457.895747,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,88,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,2866
1728891457.903409,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,88,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,31613
1728891458.180540,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,54,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,5749
1728891488.088886,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,85,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,3749
1728891517.937473,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,85,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,10031
1728891547.959704,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,85,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,54601
1728891578.078885,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,85,52.87.75.204,192.168.137.58,6,8883,54470,241,47388.0,6282
1728891591.816031,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,21,44,1024.0,31620
1728891591.816236,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,587,59,1024.0,31054
1728891591.816418,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,80,58,1024.0,31561
1728891591.816540,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,111,42,1024.0,31530
1728891591.816640,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,1720,49,1024.0,29921
1728891591.816741,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,135,40,1024.0,31506
1728891591.816843,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,5900,55,1024.0,25741
1728891591.816947,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,110,43,1024.0,31531
1728891591.817048,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,1025,42,1024.0,30616
1728891591.817149,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,22,46,1024.0,31619
1728891591.859605,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,80,64,0.0,38658
1728891591.863501,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,25,49,1024.0,31616
1728891591.864102,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,993,45,1024.0,30648
1728891591.864597,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,443,59,1024.0,31198
1728891591.865067,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,143,38,1024.0,31498
1728891591.865594,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,256,39,1024.0,31385
1728891591.866468,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,3306,37,1024.0,28335
1728891591.867002,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,554,54,1024.0,31087
1728891591.867513,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,995,38,1024.0,30646
1728891591.868049,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,8888,46,1024.0,22753
1728891591.868828,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,113,55,1024.0,31528
1728891591.869537,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,199,52,1024.0,31442
1728891591.870651,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,3389,54,1024.0,28252
1728891591.877572,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,53,47,1024.0,31588
1728891591.878650,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,23,42,1024.0,31618
1728891591.882524,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,445,38,1024.0,31196
1728891591.883320,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,1723,57,1024.0,29918
1728891591.884036,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,139,47,1024.0,31502
1728891591.884586,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,8080,52,1024.0,23561
1728891591.885287,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,6646,53,1024.0,24995
1728891591.886280,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,1032,57,1024.0,30609
1728891591.886797,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,1583,59,1024.0,30058
1728891591.887309,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,636,56,1024.0,31005
1728891591.887791,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,7938,55,1024.0,23703
1728891591.888282,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,9090,37,1024.0,22551
1728891591.912339,3e:f8:62:d4:99:eb,40:4c:ca:f7:d5:48,60,192.168.137.163,192.168.137.58,6,43325,5963,50,1024.0,25678
