Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1728891454.342300,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,106,192.168.137.58,192.168.137.1,17,19433,53,64,0.0,48488
1728891454.529392,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,58,192.168.137.58,52.87.75.204,6,54470,8883,64,5760.0,21471
1728891454.810316,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,5760.0,55810
1728891454.816735,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,193,192.168.137.58,52.87.75.204,6,54470,8883,64,5760.0,19534
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,4228.0,55671
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,5760.0,54139
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,2888.0,54139
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,5061.0,51267
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,5061.0,51267
1728891455.308352,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,4671.0,51267
1728891455.747065,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,915,192.168.137.58,52.87.75.204,6,54470,8883,64,4671.0,13998
1728891456.175372,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,105,192.168.137.58,52.87.75.204,6,54470,8883,64,4671.0,18560
1728891456.968504,40:4c:ca:f7:d5:48,3e:f8:62:d4:99:eb,54,192.168.137.58,52.87.75.204,6,54470,8883,64,4620.0,50355
