Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1665174708.110223,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174708.110224,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174709.085466,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,74,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,64240.0,2520.0
1665174709.088599,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,502.0,39807.0
1665174709.089367,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,298,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,502.0,39526.0
1665174709.096126,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,501.0,39356.0
1665174709.100350,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,501.0,38125.0
1665174712.077871,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,74,192.168.137.128,192.168.137.253,6.0,52022.0,8009.0,64.0,64240.0,52987.0
1665174712.080603,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,74,192.168.137.128,192.168.137.253,6.0,52024.0,8009.0,64.0,64240.0,9126.0
1665174714.164811,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,501.0,32585.0
1665174714.225186,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174720.797887,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,74,192.168.137.128,192.168.137.253,6.0,52026.0,8009.0,64.0,64240.0,50530.0
1665174729.351875,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,74,192.168.137.128,192.168.137.253,6.0,52028.0,8009.0,64.0,64240.0,12950.0
1665174759.410037,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,501.0,52985.0
1665174764.395277,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174806.129081,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,66,192.168.137.128,192.168.137.253,6.0,46182.0,1308.0,64.0,501.0,1605.0
1665174811.135956,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665174955.185407,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665175193.177329,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665175315.141319,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665175433.188042,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665175554.119020,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665175913.142327,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176033.153746,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176033.155564,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176273.191822,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176393.197526,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176514.144780,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665176633.219741,dc:a6:32:dc:27:d5,ac:f1:08:4e:00:82,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
