Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1733200123.630210,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,350,0.0.0.0,255.255.255.255,17.0,68.0,67.0,255.0,0.0,1880.0
1733200125.623168,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,350,0.0.0.0,255.255.255.255,17.0,68.0,67.0,255.0,0.0,1880.0
1733200126.680152,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,350,0.0.0.0,255.255.255.255,17.0,68.0,67.0,255.0,0.0,61778.0
1733200126.692005,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733200131.708218,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733200181.857169,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,73,192.168.1.210,192.168.1.1,17.0,51056.0,53.0,255.0,0.0,36840.0
1733200181.907891,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,2144.0,62441.0
1733200181.968344,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,2144.0,3175.0
1733200181.970264,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,274,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,2144.0,18534.0
1733200182.167178,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,1631.0,2955.0
1733200184.168326,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,1631.0,2954.0
1733200184.234636,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,52830.0,80.0,255.0,1630.0,2954.0
1733200184.913886,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,2144.0,57083.0
1733200184.973526,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,2144.0,50615.0
1733200184.977146,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,279,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,2144.0,26935.0
1733200184.977535,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,105,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,2144.0,63236.0
1733200185.266793,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,1710.0,50339.0
1733200187.065915,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733200187.178400,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,1710.0,50338.0
1733200187.240738,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,58182.0,80.0,255.0,1709.0,50338.0
1733200187.474070,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,2144.0,64893.0
1733200187.536865,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,2144.0,51784.0
1733200187.537361,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,285,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,2144.0,16020.0
1733200187.537655,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,182,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,2144.0,11268.0
1733200187.866618,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,1846.0,51425.0
1733200189.727632,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,1846.0,51424.0
1733200189.792809,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,50361.0,80.0,255.0,1845.0,51424.0
1733200190.932931,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2144.0,61838.0
1733200190.992705,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2144.0,45222.0
1733200190.992992,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,112,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2144.0,17264.0
1733200191.216168,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2140.0,45164.0
1733200192.061615,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,98,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2140.0,18279.0
1733200192.122484,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,89,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2135.0,26923.0
1733200192.180350,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,87,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2130.0,57741.0
1733200192.241132,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2097.0,45052.0
1733200192.304523,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,99,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2092.0,14820.0
1733200192.516178,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2088.0,45007.0
1733200195.503632,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,193,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2088.0,65397.0
1733200195.575188,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2084.0,44868.0
1733200201.950313,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,193,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2084.0,490.0
1733200202.098238,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,51596.0,1883.0,255.0,2080.0,44729.0
