Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1732959428.046843,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,350,0.0.0.0,255.255.255.255,17.0,68.0,67.0,255.0,0.0,22282.0
1732959428.058783,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,350,0.0.0.0,255.255.255.255,17.0,68.0,67.0,255.0,0.0,16645.0
1732959428.069589,50:02:91:c9:4b:b5,ff:ff:ff:ff:ff:ff,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732959433.155686,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732959484.328871,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,73,192.168.1.210,192.168.1.1,17.0,64611.0,53.0,255.0,0.0,23285.0
1732959484.424588,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,2144.0,51241.0
1732959484.488319,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,2144.0,2736.0
1732959484.490333,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,274,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,2144.0,18095.0
1732959484.689595,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,1631.0,2516.0
1732959486.700058,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,1631.0,2515.0
1732959486.774541,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,64030.0,80.0,255.0,1630.0,2515.0
1732959487.446784,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,62,192.168.1.210,128.199.95.20,6.0,63227.0,80.0,255.0,2144.0,52038.0
1732959487.512036,50:02:91:c9:4b:b5,d4:6e:0e:76:ef:10,54,192.168.1.210,128.199.95.20,6.0,63227.0,80.0,255.0,2144.0,37178.0
