Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1729949756.309342,40:4c:ca:f9:83:fc,ff:ff:ff:ff:ff:ff,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729949762.828656,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729949762.831508,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,58,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5760.0,48042.0
1729949762.851875,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,286,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,23343.0
1729949762.855788,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,23787.0
1729949762.858475,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,751,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,13833.0
1729949762.859997,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,49813.0
1729949762.864252,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,24615.0
1729949762.865782,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,554,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,27363.0
1729949762.867293,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,49306.0
1729949762.873467,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,58,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,23645.0
1729949762.875364,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,271,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,13566.0
1729949762.878758,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,49083.0
1729949762.884355,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,23117.0
1729949762.884615,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,1067,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,10067.0
1729949762.884616,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,48063.0
1729949762.887892,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,10882.0
1729949762.888531,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,657,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,11067.0
1729949762.889675,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,47453.0
1729949762.896457,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,9455.0
1729949762.896769,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,565,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,19448.0
1729949762.896770,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,46935.0
1729949762.902551,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,20509.0
1729949762.904260,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,606,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,10432.0
1729949762.906567,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,46376.0
1729949762.912800,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,20719.0
1729949762.914389,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,587,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,32362.0
1729949762.917411,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,45836.0
1729949762.919029,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,58,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,20439.0
1729949762.922079,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,247,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,508.0
1729949762.922265,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,45637.0
1729949762.923471,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,57,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,34111.0
1729949762.927766,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,45632.0
1729949762.928209,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,54,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5332.0,48977.0
1729949762.931354,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,54,192.168.1.110,192.168.1.132,6.0,80.0,63445.0,64.0,5331.0,48977.0
1729949763.833708,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,58,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5760.0,11957.0
1729949763.854012,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,286,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,52793.0
1729949763.857375,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,54818.0
1729949763.859429,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,649,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,14658.0
1729949763.863274,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,13830.0
1729949763.869686,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,59,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,54682.0
1729949763.870258,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,504,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,45583.0
1729949763.873963,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,13373.0
1729949763.874542,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,57,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,1847.0
1729949763.875317,40:4c:ca:f9:83:fc,3c:f8:62:d4:99:eb,56,192.168.1.110,192.168.1.132,6.0,80.0,63444.0,64.0,5442.0,13368.0
