Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port,TTL,Window Size,Checksum
1733827442.918133,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,42596.0,53.0,64,0.0,33781
1733827442.926040,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,51379.0,53.0,64,0.0,33781
1733827442.937960,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,142.250.193.68,6,49200.0,80.0,64,64240.0,4736
1733827442.949969,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12205
1733827443.028746,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49200.0,80.0,64,502.0,4728
1733827443.034956,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49200.0,80.0,64,502.0,4728
1733827443.123847,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49200.0,80.0,64,502.0,4728
1733827443.656285,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,38437.0,53.0,64,0.0,33781
1733827443.666077,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,181,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12320
1733827443.680954,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,49712.0,53.0,64,0.0,33781
1733827443.691577,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,47363.0,53.0,64,0.0,33781
1733827443.704128,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,142.250.193.68,6,49210.0,80.0,64,64240.0,4736
1733827443.720118,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,68,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12207
1733827443.792851,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49210.0,80.0,64,502.0,4728
1733827443.810414,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,78,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12217
1733827443.821411,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49210.0,80.0,64,502.0,4728
1733827443.913274,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49210.0,80.0,64,502.0,4728
1733827444.388364,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,41062.0,53.0,64,0.0,33781
1733827444.398265,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,181,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12320
1733827444.419763,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,47557.0,53.0,64,0.0,33781
1733827444.436099,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,53360.0,53.0,64,0.0,33781
1733827444.449521,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,142.250.193.68,6,49212.0,80.0,64,64240.0,4736
1733827444.451846,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12205
1733827444.546404,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49212.0,80.0,64,502.0,4728
1733827444.551008,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49212.0,80.0,64,502.0,4728
1733827444.647394,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49212.0,80.0,64,502.0,4728
1733827445.120109,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,49625.0,53.0,64,0.0,33781
1733827445.120814,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,181,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12320
1733827445.133648,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,48723.0,53.0,64,0.0,33781
1733827445.146275,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,192.168.1.1,17,45483.0,53.0,64,0.0,33781
1733827445.166391,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,74,192.168.1.106,142.250.193.68,6,49224.0,80.0,64,64240.0,4736
1733827445.174825,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,159.89.206.26,6,56703.0,1883.0,64,502.0,12205
1733827445.259424,b8:27:eb:82:05:a1,90:9a:4a:c8:6b:02,66,192.168.1.106,142.250.193.68,6,49224.0,80.0,64,502.0,4728
